Creature name,Blurb,Task Specific 1,Task Specific 2,Tempo Preference,Loudness Preference,Task Category,Creature Image,,,,,
Blazebark,"A fiery, tree-like creature with a warm heart.",Make Firefly lights ,Build bonfire pit,84 - 134,-18 - -3,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/blazebark.png,,,,,
Cloudjumper,A nimble creature that leaps between treetops.,Plant microphone flowers,Throw out litter,88 - 138,-30 - -15,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/cloudjumper.png,,,,,
Driftwing,A calm creature with a soothing aura.,Curate art displays,Assemble Lullaby tents,12 - 62,-39 - -24,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/driftwing.png,,,,,
Dusktail,A nocturnal creature that loves the moonlight.,Install pathway lights,Install power cables,145 - 195,-30 - -15,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/dusktail.png,,,,,
Emberfang,A fun creature with a warm personality.,Make dancing signs,Light pathways,135 - 185,-30 - -15,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/emberfang.png,,,,,
Flickdash,"Quick and spirited, always on the move.",Build stage ,Build hedgehog barriers,120 - 170,-16 - -1,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/flickdash.png,,,,,
Frostridge,"Huge, slow, and moves with purpose.",Create ice sculptures,Run cooling tents,60 - 110,-17 - -2,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/frostridge.png,,,,,
Glowtail,A luminous creature that loves the night.,Run information tent,Teach dance tutorials,143 - 193,-16 - -1,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/glowtail.png,,,,,
Grainhoof,A hardworking creature with lots of energy.,Harvest crops for snacks,Plant message trees,30 - 80,-20 - -5,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/grainhoof.png,,,,,
Leafwhisk,A quick creature that loves plants.,Gather fresh flowers,Run snack stand,140 - 190,-35 - -20,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/leafwhisk.png,,,,,           
Mistpuff,Cloud-like and dreamy with a calm demeanor.,Comfort overstimulated guests,Sell bard merch,62 - 112,-35 - -20,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/mistpuff.png,,,,,
Muckmender,A happy who creature who loves mess.,Drive caterpillar bus,Fill in mud puddles,39 - 89,-20 - -5,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/muckmender.png,,,,,
Mudscale,"Serious, loves much, found in swamps.",Build singing parking lot,Mosh pit safety patrol,81 - 131,-17 - -2,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/mudscale.png,,,,,
Patchsnap,Energetic and always ready to lend a hand.,Do comedy,Make rhythm cookies,60 - 110,-16 - -1,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/patchsnap.png,,,,,
Pebblepuff,"Tiny, determined, and thrives under pressure.",Build stone pathways,Dig Karaoke Caves,143 - 193,-16 - -1,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/pebblepuff.png,,,,,
Rivergleam,"Shiny, fast, and loves water.",Run handwashing stations,Lifeguard at wish fountain,86 - 136,-37 - -22,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/rivergleam.png,,,,,
Rockroller,"Strong, steady, and loves rolling heavy objects.",Design dance platforms,Build seats,42 - 92,-31 - -16,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/rockroller.png,,,,,
Snugglehorn,A gentle giant who loves to lend a helping hand.,Run petting zoo,Babysit children,40 - 90,-49 - -34,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/snugglehorn.png,,,,,
Sparkclaw,An electric creature that buzzes with excitement.,Build show lighting,Make sparkle dispensers,150 - 200,-33 - -18,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/sparkclaw.png,,,,,
Sunseeker,Vibrant creature that thrives in sunlight.,Bonfire safety patrol,Run solar chargers,146 - 196,-20 - -5,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/sunseeker.png,,,,,
Swaybranch,A tree-like creature that moves with the wind.,Greet guests,Check tickets,85 - 135,-32 - -17,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/swaybranch.png,,,,,
Swiftfin,A water-loving creature that is always moving.,Water festival plants,Power rhythm fountains,142 - 192,-18 - -3,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/swiftfin.png,,,,,
Thornsnap,A spiky creature with a soft heart.,Install banners,Install plant cameras,90 - 140,-33 - -18,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/thornsnap.png,,,,,
Vineclutch,A vine-covered creature with a love of plants.,Build safety barriers,Hang string lights,17 - 67,-40 - -25,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/vineclutch.png,,,,,
Whistlebreeze,A calm creature with a soothing voice.,Run first aid stand,Leave no Trace steward,10 - 60,-50 - -35,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/whistlebreeze.png,,,,,
