Creature name,,Task Specific 1,Task Specific 2,Revised Task,Loot,Tempo Preference,Loudness Preference,Task Category,Creature Image,Task 1 Image,Task 2 Image,Revised Task Image,Region
Driftwing,,Run information tent,Teach dance tutorials,Run info tent,1,17 - 67,-39 - -24,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/driftwing.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/info_tent.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/dance_tutorial.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/info_tent.png,Chorus of Commons
Glowtail,,Run first aid stand,Leave no Trace steward,Give first aid,1,30 - 80,-16 - -1,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/glowtail.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/firstaid.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/leave_no.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/firstaid.png,Chorus of Commons
Hopsnap,,,,Take festival photos,2,39 - 89,-33 - -18,,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/hopsnap.png,,,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/photos.png,Chorus of Commons
Lyribel,,Run petting zoo,Babysit children,Run daycare,3,12 - 62,-20 - -5,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/lyribel.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/petting.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/babysit.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/babysit.png,Chorus of Commons
Patchsnap,,Run first aid stand,Leave no Trace steward,Give first aid,3,42 - 92,-16 - -1,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/patchsnap.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/firstaid.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/leave_no.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/firstaid.png,Chorus of Commons
Rivergleam,,Run handwashing stations,Lifeguard at wish fountain,Lifeguard at wish fountain,2,60 - 110,-37 - -22,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/rivergleam.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/wash_station.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/lifeguard.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/lifeguard.png,Chorus of Commons
Snugglehorn,,Run petting zoo,Babysit children,Run daycare,1,40 - 90,-49 - -34,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/snugglehorn.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/petting.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/babysit.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/babysit.png,Chorus of Commons
Swaybranch,,Run information tent,Teach dance tutorials,Run info tent,3,60 - 110,-32 - -17,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/swaybranch.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/info_tent.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/dance_tutorial.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/info_tent.png,Chorus of Commons
Whistlebreeze,,Run first aid stand,Leave no Trace steward,Leave no Trace steward,2,20 - 70,-35 - -20,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/whistlebreeze.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/firstaid.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/leave_no.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/leave_no.png,Chorus of Commons
Cloudjumper,,Comfort overstimulated guests,Sell bard merch,Sell merch,3,120 - 170,-30 - -15,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/cloudjumper.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/comfort_guest.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bard_merch.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bard_merch.png,Backbeat
Grainhoof,,Gather fresh flowers,Run snack stand,Run food stand,3,86 - 136,-30 - -24,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/grainhoof.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/gather_flowers.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/snack_stand.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/snack_stand.png,Backbeat
Leafwhisk,,Gather fresh flowers,Run snack stand,Run food stand,1,62 - 112,-16 - -1,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/leafwhisk.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/gather_flowers.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/snack_stand.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/snack_stand.png,Backbeat
Mistpuff,,Comfort overstimulated guests,Sell bard merch,Sell merch,1,90 - 140,-33 - -18,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/mistpuff.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/comfort_guest.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bard_merch.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bard_merch.png,Backbeat
Muckmender,,Drive caterpillar bus,Fill in mud puddles,Drive cat bus,2,88 - 138,-20 - -5,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/muckmender.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bus.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/mud_puddle.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bus.png,Backbeat
Mudscale,,Plant microphone flowers,Throw out litter,Clean up litter,3,100 - 150,-16 - -1,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/mudscale.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/microphone.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/recycle.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/recycle.png,Backbeat
Sparkclaw,,Do comedy,Make rhythm cookies,Introduce bands,2,85 - 135,-37 - -22,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/sparkclaw.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/comedy.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/cookies.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/comedy.png,Chorus of Commons
Sunseeker,,Bonfire safety patrol,Run solar chargers,Run solar chargers,2,84 - 134,-49 - -34,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/sunseeker.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bonfire_safety.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/solar.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/solar.png,Backbeat
Swiftfin,,Plant microphone flowers,Throw out litter,Clean up litter,1,81 - 131,-32 - -17,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/swiftfin.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/microphone.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/recycle.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/recycle.png,Backbeat
Blazebark,,Install pathway lights,Install power cables,Install lights,3,146 - 196,-18 - -3,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/blazebark.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/pathway.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/power.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/light.png,Forge of Form
Dusktail,,Curate art displays,Assemble Lullaby tents,Set up tents,3,143 - 193,-30 - -15,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/dusktail.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/art.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/lullaby.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/lullaby.png,Chorus of Commons
Emberfang,,Install pathway lights,Install power cables,Install lights,1,140 - 190,-30 - -15,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/emberfang.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/pathway.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/power.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/light.png,Forge of Form
Flickdash,,Build stage,Build hedgehog barriers,Build stage,3,135 - 185,-16 - -1,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/flickdash.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/stage.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/hedgehog.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/stage.png,Forge of Form
Frostridge,,Create ice sculptures,Run cooling tents,Make ice sculptures,2,145 - 195,-17 - -2,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/frostridge.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/ice_sculptures.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/cooling_tent.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/ice_sculptures.png,Forge of Form
Pebblepuff,,Build stone pathways,Dig Karaoke Caves,Dig Karaoke Caves,2,142 - 192,-16 - -1,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/pebblepuff.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/stone_path.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/karaoke.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/karaoke.png,Forge of Form
Rockroller,,Build stage,Build hedgehog barriers,Build stage,1,145 - 195,-31 - -16,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/rockroller.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/stage.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/hedgehog.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/stage.png,Forge of Form
