#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot ,ISRC
1,"A Million Dreams","Ziv Zaifman,Hugh Jackman,Michelle Williams",72,55,"show tunes, hollywood","Easy listening","The Greatest Showman (Original Motion Picture Soundtrack)",2017-12-08,04:29,27,31,24,0,10,0,0,-12,G Major,3,2024-10-09,0RoA7ObU6phWpqhlC9zH4Z,"Atlantic Records",9B,USAT21704617
2,"How Forever Feels","Kenny Chesney",54,125,"contemporary country, country, country road","Country","Everywhere We Go",1999-02-26,03:08,72,67,10,0,61,0,20,-7,G Major,4,2024-10-09,2HmMklpgK8vGCpJmPpz1yG,"BNA Records Label",9B,USBN19700118
3,"Wake Me Up Before You Go-Go","Wham!",79,82,"new romantic, new wave, new wave pop, soft rock","Rock, Pop","Make It Big",1984-10-23,03:51,62,57,27,0,90,0,0,-12,C Major,4,2024-10-09,0ikz6tENMONtK6qGkOrU3c,"Columbia",8B,GBBBN0009712
4,"Crazy Little Thing Called Love","Queen",30,77,"classic rock, glam rock, rock","Rock","Stone Cold Classics",2006-01-01,02:44,60,61,70,0,78,0,20,-12,C Major,4,2024-10-09,6aU0F03DR257LCPAXjtg42,"Hollywood Records",8B,GBCEE8000029
5,"Over the Rainbow","Israel Kamakawiwo'ole",70,86,"hawaiian","","Alone In Iz World",2001-09-25,03:31,67,15,91,0,66,0,0,-14,C Major,4,2024-10-09,3oQomOPRNQ5NVFUmLJHbAV,"Big Boy Records",8B,USMAC0100119
6,"Don't Want You Back","The Courettes",15,112,"trash rock","Rock","The Soul Of... The Fabulous Courettes",2024-09-27,02:54,58,79,33,36,47,0,10,-7,C Major,4,2024-10-11,4qlSbskBHgiOi1g27cpcOj,"Damaged Goods Records",8B,GBGLR2400127
7,"The Power Of Love","Huey Lewis & The News",73,119,"album rock, classic rock, hard rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock","Rock, Pop, Folk/Acoustic","Greatest Hits: Huey Lewis And The News",2006-01-01,03:54,77,83,10,0,96,0,10,-5,F Major,4,2024-10-09,2olVm1lHicpveMAo4AUDRB,"Capitol Records",7B,USCA20600519
8,"Don't Stop Me Now - Remastered 2011","Queen",72,156,"classic rock, glam rock, rock","Rock","Jazz (Deluxe Remastered Version)",1978-11-10,03:29,56,87,5,0,60,10,70,-5,F Major,4,2024-10-09,7hQJA50XrCWABAu5v6QZ4i,"Hollywood Records",7B,GBUM71029610
9,"Round and Around","Kolohe Kai",50,124,"jawaiian","Hip Hop","Summer to Winter",2019-02-19,03:32,88,35,18,0,52,10,10,-8,F Major,4,2024-10-09,6QXdsoQ7yo0FaV6Velzgg4,"R K D Inc.",7B,TCADW1835312
10,"Addicted To Life","Kolohe Kai",42,165,"jawaiian","Hip Hop","Addicted to Life",2024-08-02,03:32,64,38,90,0,46,10,10,-9,F Major,3,2024-10-09,5RwquuM5d8APPTPRITN0XF,"R K D Inc.",7B,QZWDD2499720
11,"Killer Queen","5 Seconds of Summer",47,171,"boy band, pop","Pop","Killer Queen",2018-10-25,03:19,26,79,0,0,49,10,30,-5,A#/B♭ Major,3,2024-10-09,0SA903LGHxe4ExdRY2SqVH,"EMI",6B,GBUM71806728
12,"I Wish I Knew How It Would Feel to Be Free","Nina Simone",51,122,"jazz blues, neo soul, soul, soul jazz, torch song, vocal jazz","Blues, R&B, Jazz","New World Coming",2020-10-09,03:07,69,49,71,0,75,0,10,-10,A#/B♭ Major,4,2024-10-09,0ffKWwKo4yREKKLoZhNH7M,"RCA/Legacy",6B,USRC10503463
13,"Sunroof - Acoustic","Nicky Youre,dazy",43,131,"singer-songwriter pop, ","Pop","Sunroof (Remixes)",2022-08-12,02:15,79,48,82,0,90,0,0,-5,A#/B♭ Major,4,2024-10-11,5SQumm5nD389bpF8MsYRkg,"Columbia",6B,USQX92203784
14,"End Up Here","5 Seconds of Summer",42,152,"boy band, pop","Pop","5 Seconds Of Summer",2014-06-27,03:01,50,98,2,0,41,20,20,-4,D#/E♭ Major,4,2024-10-09,7lNqCbnqD6gQpfl5HquF1o,"Capitol",5B,GBUM71401921
15,"Space Song","Beach House",76,147,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie","Pop, Rock","Depression Cherry",2015-08-28,05:20,51,79,23,12,60,0,10,-7,C Minor,4,2024-10-09,7H0ya83CMmgFcOhw0UB6ow,"Sub Pop Records",5A,USSUB1512203
16,"Hooked On A Feeling","Blue Swede,Björn Skifs",72,118,"classic swedish pop","Pop","Hooked On A Feeling",1973-04-01,02:52,55,82,26,0,93,0,30,-7,G#/A♭ Major,4,2024-10-09,6Ac4NVYYl2U73QiTt11ZKd,"Parlophone Sweden",4B,SEAMA7343050
17,"Happy - From  Despicable Me 2 ","Pharrell Williams",79,160,"dance pop, pop","Pop","G I R L",2014-03-03,03:52,65,82,22,0,96,10,0,-5,F Minor,4,2024-10-09,60nZcImufyMA1MKQY3dcCH,"Columbia",4A,USQ4E1300686
18,"Celebration","Kool & The Gang",69,122,"disco, funk, motown, soft rock, soul","R&B, Rock","Celebrate!",1980-09-29,04:58,89,66,14,5,91,0,0,-12,C♯/D♭ Major,4,2024-10-09,3K7Q9PHUWPTaknlbFPThn2,"Island Mercury",3B,USPR38007190
19,"Chuck Baby","Chuck Brown",34,186,"go-go","R&B","We're About the Business",2007-04-24,03:57,57,76,1,0,59,30,40,-5,C♯/D♭ Major,4,2024-10-11,5BP4MvcQyHwXKzHAeAju6j,"Raw Venture Records & Tapes, Inc.",3B,USF480600105
20,"Ice Cream Man - 2015 Remaster","Van Halen",51,88,"album rock, classic rock, hard rock, rock","Rock","Van Halen (Remastered)",1978-02-10,03:18,40,76,7,0,58,10,10,-8,A#/B♭ Minor,4,2024-10-10,2TXzXJWWzESQq5glbDtZc9,"Rhino/Warner Records",3A,USWB11403677
21,"There's Hope","India.Arie",33,87,"neo soul, r&b, urban contemporary","R&B, Hip Hop","Testimony: Vol. 1 Life & Relationship",2006-06-27,03:55,77,51,4,0,53,10,10,-7,B Major,4,2024-10-09,7Izrps5vrCDIhwPTDrttaI,"Universal Records",1B,USUM70603504
22,"Club Tropicana","Wham!",62,117,"new romantic, new wave, new wave pop, soft rock","Rock, Pop","Fantastic",1983-07-09,04:25,66,71,3,0,81,0,60,-9,B Major,4,2024-10-09,6tASfEUyB7lE2r6DLzURji,"Epic",1B,GBBBM8300007
23,"Calm Down (with Selena Gomez)","Rema,Selena Gomez",79,107,"afrobeats, nigerian pop, pop, post-teen pop","R&B, Pop","Calm Down (with Selena Gomez)",2022-08-25,03:59,80,81,38,0,80,0,10,-5,B Major,4,2024-10-09,0WtM2NBVQNNJLh6scP13H8,"Mavin Records / Jonzing World",1B,NGA3B2214021
24,"Jai Ho! (You Are My Destiny)","A.R. Rahman,The Pussycat Dolls,Nicole Scherzinger",61,136,"filmi, dance pop, girl group, pop, post-teen pop","Pop, World/Traditional","Jai Ho! (You Are My Destiny)",2009-01-01,03:42,66,94,5,0,88,0,0,-4,G#/A♭ Minor,4,2024-10-09,7Kpqjspw4Y7HrvItIRcBiW,"Pussycat Dolls LP2 / Timbaland",1A,USUM70954362
25,"I'm Gonna Be (500 Miles)","The Proclaimers",73,132,"celtic rock, scottish rock","Rock","Sunshine on Leith",1988-00-00,03:39,85,55,15,0,81,0,0,-5,E Major,4,2024-10-09,67iAlVNDDdddxqSD2EZhFs,"Parlophone UK",12B,GBAYK8800055
26,"Dancing In the Dark","Bruce Springsteen",82,149,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter","Rock, Folk/Acoustic","Born In The U.S.A.",1984-06-04,04:01,53,94,1,0,50,0,10,-6,C♯/D♭ Minor,4,2024-10-09,7FwBtcecmlpc1sLySPXeGE,"Columbia",12A,USSM18400416
27,"Three Little Birds","Bob Marley & The Wailers",67,74,"reggae, roots reggae","R&B","Legend - The Best Of Bob Marley And The Wailers",2002-01-01,03:00,83,49,1,0,63,0,0,-10,A Major,4,2024-10-09,7vggqxNKwd6xdRoYS0pQtM,"UMC (Universal Music Catalogue)",11B,USIR27700016
28,"Rainbow Connection","DCappella,Kermit the Frog",19,113,"children's music","Easy listening","Rainbow Connection",2023-03-17,03:10,46,37,42,0,33,0,10,-7,A Major,3,2024-10-09,3s98cE1iaE8OND01s9ZiJh,"Walt Disney Records",11B,USWD12215282
29,"Chanson Pour Les Petits Enfants","Jimmy Buffett",25,132,"trop rock","Rock","Volcano",1979-01-01,04:07,69,25,54,0,71,0,0,-17,D Major,4,2024-10-09,5PwHMQyQQupFql2HQqJYbF,"Geffen*",10B,USMC10110992
